State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1916,D,,D,D,D,D,R,R,,D,D,,D,R,R,R,D,D,D,R,D,R,R,R,D,D,D,D,D,D,R,D,R,D,D,D,D,R,R,R,D,R,D,D,D,R,D,D,R,R,D
1920,D,,R,D,R,R,R,R,,D,D,,R,R,R,R,R,D,D,R,R,R,R,R,D,R,R,R,R,R,R,R,R,D,R,R,R,R,R,R,D,R,R,D,R,R,D,R,R,R,R
1924,D,,R,D,R,R,R,R,,D,D,,R,R,R,R,R,R,D,R,R,R,R,R,D,R,R,R,R,R,R,R,R,D,R,R,D,R,R,R,D,R,D,D,R,R,D,R,R,PR,R
1928,D,,R,D,R,R,R,R,,R,D,,R,R,R,R,R,R,D,R,R,D,R,R,D,R,R,R,R,R,R,R,R,R,R,R,R,R,R,D,D,R,R,R,R,R,R,R,R,R,R
1932,D,,D,D,D,D,R,R,,D,D,,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D,R,D,D,D,D,D
1936,D,,D,D,D,D,D,D,,D,D,,D,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
1940,D,,D,D,D,R,D,D,,D,D,,D,D,R,R,R,D,D,R,D,D,R,D,D,D,D,R,D,D,D,D,D,D,R,D,D,D,D,D,D,R,D,D,D,R,D,D,D,D,D
1944,D,,D,D,D,R,D,D,,D,D,,D,D,R,R,R,D,D,R,D,D,D,D,D,D,D,R,D,D,D,D,D,D,R,R,D,D,D,D,D,R,D,D,D,R,D,D,D,R,R
1948,SR,,D,D,D,D,R,R,,D,D,,D,D,R,D,R,D,SR,R,R,D,R,D,SR,D,D,R,D,R,R,D,R,D,R,D,D,R,R,D,SR,R,D,D,D,R,D,D,D,D,D
1952,D,,R,D,R,R,R,R,,R,D,,R,R,R,R,R,D,D,R,R,R,R,R,D,R,R,R,R,R,R,R,R,D,R,R,R,R,R,R,D,R,R,R,R,R,R,R,D,R,R
