district,is_incumbent,name,party,percent,state,votes,won,year,first_time_elected,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 5,0.0,Branwell Fanning,R,38.2,California,64008.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 38,0.0,"James ""Jim"" Combs",R,36.4,California,59092.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 13,0.0,Ernie Konnyu,R,31.2,California,63130.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 13,1.0,Norm Mineta ,D,66.8,California,135291.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 38,1.0,Jerry M. Patterson ,D,63.6,California,103317.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 40,0.0,Vivian Hall,D,40.7,California,102132.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Robert J. Billings,R,31.7,Indiana,48756.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Fred W. Rohlfing,R,39.06,Hawaii,53745.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 35,1.0,James F. Lloyd ,D,53.3,California,87472.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Joe H. Ferguson,R,39.83,Utah,106542.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,1.0,K. Gunn McKay ,D,58.17,Utah,155631.0,1,1976,1972.0,2,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 36,1.0,"George Brown, Jr. ",D,61.6,California,90830.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 36,0.0,Grant Carner,R,33.5,California,49368.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 15,0.0,R.L. (Lendy) McDonald,R,25.64,Texas,35446.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 24,1.0,Henry Waxman ,D,67.8,California,108296.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 40,0.0,Robert Badham,R,59.3,California,148512.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,1.0,Harold T. Johnson ,D,73.9,California,160477.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 24,0.0,David Irvins Simmons,R,32.2,California,51478.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,0.0,Daniel Akaka,D,79.51,Hawaii,124116.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 3,1.0,Frank Evans ,D,51.0,Colorado,89302.0,1,1976,1966.0,5,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Cecil Heftel,D,43.64,Hawaii,60050.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 3,0.0,Melvin Takaki,R,47.0,Colorado,82315.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 26,0.0,Latta Bruce,D,34.4,California,59093.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 26,1.0,John H. Rousselot ,R,65.6,California,112619.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,James E. Taylor,R,26.1,California,56539.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,0.0,Hank Inouye,R,15.32,Hawaii,23917.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 27,0.0,Bob Dornan,R,54.7,California,114623.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,1.0,Ron Dellums ,D,62.1,California,122342.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 35,0.0,Louis Brutocao,R,46.7,California,76765.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 37,1.0,Shirley Neil Pettis ,R,71.1,California,133634.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 37,0.0,Douglas C. Nilson Jr.,D,26.1,California,49021.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 10,0.0,Herb Smith,R,24.5,California,38088.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 33,0.0,Ted Snyder,D,44.9,California,77807.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 33,1.0,Del M. Clawson ,R,55.1,California,95398.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 18,1.0,William M. Ketchum ,R,64.2,California,101658.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 18,0.0,Dean Close,D,35.8,California,56683.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,0.0,Rex Hime,R,49.8,California,75193.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,1.0,Robert L. Leggett ,D,50.2,California,75844.0,1,1976,1964.0,6,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,0.0,Werner Fornos,D,42.33,Maryland,69855.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,1.0,Marjorie Holt ,R,57.67,Maryland,95158.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,0.0,James R. Tate,R,42.6,Virginia,68729.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,1.0,Herbert Harris ,D,51.6,Virginia,83245.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 30,0.0,Harry Couch,R,25.6,California,28503.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 10,1.0,Don Edwards ,D,72.0,California,111992.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 11,0.0,Bob Jones,R,35.4,California,62435.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 34,1.0,Mark W. Hannaford ,D,50.7,California,100988.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 34,0.0,Dan Lungren,R,49.3,California,98147.0,0,1976,1978.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 19,0.0,Dan Sisson,D,35.6,California,68722.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 19,1.0,Robert J. Lagomarsino ,R,64.4,California,124201.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,1.0,Donald H. Clausen ,R,56.0,California,121290.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,0.0,Oscar H. Klee,D,41.0,California,88829.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 28,1.0,Yvonne Brathwaite Burke (I),D,80.2,California,114612.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 28,0.0,Edward S. Skinner,R,19.8,California,28303.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 41,0.0,"King Golden, Jr.",D,42.3,California,94590.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,0.0,Philip Stiles Breck Jr.,R,34.7,California,68374.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 27,0.0,Gary Familian,D,45.3,California,94988.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 41,1.0,Bob Wilson ,R,57.7,California,128784.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 6,0.0,Tom Spinosa,R,27.0,California,35359.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 6,1.0,Phillip Burton ,D,66.1,California,86493.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 30,1.0,George E. Danielson ,D,74.4,California,82767.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 11,1.0,Leo Ryan ,D,61.1,California,107618.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 5,0.0,Dorothy Hores,D,33.57,Colorado,64067.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 5,1.0,Bill Armstrong ,R,66.43,Colorado,126784.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,"Adam Benjamin, Jr.",D,71.3,Indiana,121155.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 15,1.0,Kika de la Garza ,D,74.36,Texas,102837.0,1,1976,1966.0,5,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,1.0,Harold L. Runnels ,D,70.33,New Mexico,123563.0,1,1976,1972.0,2,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 16,1.0,Burt L. Talcott ,R,46.6,California,91160.0,0,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 22,0.0,Robert S. Henry,D,37.4,California,68543.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 25,0.0,Robert K. Watson,R,22.0,California,17737.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,0.0,Lanny Davis,D,42.22,Maryland,100343.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 8,0.0,Newton Steers,R,46.82,Maryland,111274.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 32,1.0,Glenn M. Anderson ,D,72.2,California,92034.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 25,1.0,Edward R. Roybal ,D,71.9,California,57966.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 32,0.0,Clifford O. Young,R,27.8,California,35394.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,1.0,Manuel Lujan ,R,72.09,New Mexico,162587.0,1,1976,1970.0,3,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 15,0.0,Carol Harner,R,27.8,California,35700.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 6,0.0,James (Jim) Anderson (IR),R,,Minnesota,99201.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 39,1.0,Charles E. Wiggins ,R,58.6,California,122657.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 39,0.0,"William E. ""Bill"" Farris",D,41.4,California,86745.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 23,0.0,Anthony C. Beilenson,D,60.2,California,130619.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 23,0.0,Thomas F. Bartman,R,39.8,California,86434.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 7,1.0,George Miller ,D,74.7,California,147064.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 20,0.0,Patty Lear Corman,D,32.8,California,71193.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 20,1.0,"Barry Goldwater, Jr. ",R,67.2,California,146158.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 21,1.0,James C. Corman ,D,66.5,California,101837.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Raymond Garcia,D,27.4,New Mexico,61800.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 14,0.0,Roger A. Blaine,R,27.5,California,46674.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,0.0,Donald W. Trubey,R,29.67,New Mexico,52131.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 43,1.0,Clair Burgener ,R,65.0,California,173576.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 10,1.0,Joseph L. Fisher ,D,54.72,Virginia,103689.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 10,0.0,"Vincent F. Callahan, Jr.",R,38.85,Virginia,73616.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 42,0.0,Wes Marden,R,24.0,California,32565.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 42,1.0,Lionel Van Deerlin ,D,76.0,California,103062.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 7,0.0,Robert L. Vickers,R,23.3,California,45863.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,1.0,Allan Howe ,D,40.15,Utah,110931.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 2,0.0,David Daniel Marriott,R,52.43,Utah,144861.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 43,0.0,Pat Kelly,D,35.0,California,93475.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 22,1.0,Carlos Moorhead ,R,62.6,California,114769.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,0.0,Daniel Ogden,D,34.84,Colorado,76995.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 15,1.0,Bernice F. Sisk ,D,72.2,California,92735.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 16,0.0,Leon Panetta,D,53.4,California,104545.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 14,1.0,John J. McFall ,D,72.5,California,123285.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 21,0.0,Erwin Ed Hogan,R,28.8,California,44094.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 9,0.0,James K. Mills,R,27.1,California,44607.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 17,0.0,Henry J. Andreas,R,34.3,California,54270.0,0,1976,,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 17,1.0,John Hans Krebs ,D,65.7,California,103898.0,1,1976,1976.0,0,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 9,1.0,Pete Stark ,D,70.8,California,116398.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 31,1.0,Charles H. Wilson ,D,100.0,California,83155.0,1,1976,1962.0,7,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 4,1.0,James Paul Johnson ,R,54.05,Colorado,119458.0,1,1976,1974.0,1,7.7,1.0,1.0,D,0.455,291.0,144.0,D,
District 1,0.0,Robert M. Hawk,D,37.47,New Mexico,70761.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 4,,Rex Hime,R,44.6,California,70733.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 33,0.0,Wayne R. Grisham,R,56.0,California,79533.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 18,0.0,Bill Thomas,R,59.3,California,85663.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 33,0.0,Dennis S. Kazarian,D,44.0,California,62540.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 18,0.0,Bob Sogge,D,40.7,California,58900.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 14,1.0,John J. McFall ,D,42.6,California,76602.0,0,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 10,1.0,Don Edwards ,D,67.1,California,84488.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 37,0.0,Dan Corcoran,D,34.8,California,60463.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 37,0.0,Jerry Lewis,R,61.4,California,106581.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,1.0,Harold L. Runnels ,D,100.0,New Mexico,95710.0,1,1978,1972.0,3,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 4,0.0,Vic Fazio,D,55.4,California,87764.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 14,1.0,Norman D. Shumway ,R,53.4,California,95962.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 16,0.0,Eric Seastrand,R,38.6,California,65808.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 16,1.0,Leon Panetta ,D,61.4,California,104550.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 43,1.0,Clair Burgener ,R,68.66,California,167150.0,1,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,0.0,Norma Bork,D,45.3,California,99712.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 11,0.0,Dave Welch,R,35.6,California,54621.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 11,1.0,Leo Ryan ,D,60.5,California,92882.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 43,0.0,Reuben B. Brooks,D,31.34,California,76308.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 10,0.0,Rudy Hansen,R,32.9,California,41374.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 42,0.0,Lawrence C. Mattera,R,26.3,California,30319.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,1.0,Manuel Lujan ,R,62.53,New Mexico,118075.0,1,1978,1970.0,4,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 4,0.0,Sue F. Ward,D,37.96,Maryland,43663.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,0.0,Markham L. Gartley,D,40.85,Maine,70691.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,0.0,Olympia Snowe,R,50.82,Maine,87939.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 31,1.0,Charles H. Wilson ,D,67.8,California,55667.0,1,1978,1962.0,8,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 31,0.0,Don Grimshaw,R,32.2,California,26490.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 25,1.0,Edward R. Roybal ,D,67.4,California,45881.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 25,0.0,Robert K. Watson,R,32.6,California,22205.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 26,1.0,John H. Rousselot ,R,100.0,California,113059.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 3,0.0,Harold L. McCormick,R,49.0,Colorado,69303.0,0,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 3,0.0,Raymond P. Kogovsek,D,49.0,Colorado,69669.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,0.0,James E. Taylor,R,40.6,California,85690.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,1.0,Harold T. Johnson ,D,59.4,California,125122.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 10,0.0,Frank Wolf,R,46.64,Virginia,61981.0,0,1978,1980.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 10,1.0,Joseph L. Fisher ,D,53.35,Virginia,70892.0,1,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 36,0.0,Dana Warren Carmody,R,37.1,California,47417.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 36,1.0,"George Brown, Jr. ",D,62.9,California,80448.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 5,1.0,John Burton ,D,66.8,California,106046.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 5,0.0,Dolores Skore,R,33.2,California,52603.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 38,0.0,Dan Goedeke,R,41.4,California,53298.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 38,1.0,Jerry M. Patterson ,D,58.6,California,75471.0,1,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 4,1.0,Marjorie Holt ,R,62.04,Maryland,71374.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 30,0.0,Henry Ares,R,28.6,California,26511.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 30,1.0,George E. Danielson ,D,71.4,California,66241.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,0.0,Jack Herrity,R,47.1,Virginia,52396.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,1.0,Herbert Harris ,D,50.5,Virginia,56137.0,1,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,,Robert J. Billings,R,19.3,Indiana,17419.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,1.0,"Adam Benjamin, Jr.",D,80.2,Indiana,72367.0,1,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 42,1.0,Lionel Van Deerlin ,D,73.7,California,85126.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 15,0.0,Tony Coelho,D,60.1,California,75212.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 34,,Dan Lungren,R,53.7,California,90554.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 34,1.0,Mark W. Hannaford ,D,43.7,California,73608.0,0,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 20,1.0,"Barry Goldwater, Jr. ",R,66.4,California,129714.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 20,0.0,Pat Lear,D,33.6,California,65695.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 6,0.0,Russ Bjorhus (IR),R,44.7,Minnesota,93742.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 27,1.0,Bob Dornan ,R,51.0,California,89392.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 27,0.0,Carey Peck,D,49.0,California,85880.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 15,0.0,Chris Patterakis,R,39.9,California,49914.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 5,0.0,Ken Kramer,R,59.78,Colorado,91933.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 29,0.0,Uriah J. Fields,R,15.0,California,11512.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 23,1.0,Anthony C. Beilenson ,D,65.6,California,117498.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 17,1.0,John Hans Krebs ,D,45.5,California,67885.0,0,1978,1976.0,1,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 17,0.0,Charles (Chip) Pashayan,R,54.5,California,81296.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,1.0,Newton Steers ,R,48.73,Maryland,77807.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 13,0.0,Dan O'Keefe,R,39.5,California,69306.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,1.0,Ron Dellums ,D,57.4,California,94824.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 24,0.0,Howard G. Schaefer,R,32.6,California,44243.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,0.0,Charles V. Hughes,R,42.6,California,70481.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 19,1.0,Robert J. Lagomarsino ,R,71.7,California,123192.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 19,0.0,Jerry Zamos,D,24.3,California,41672.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 15,1.0,Kika de la Garza ,D,66.2,Texas,54560.0,1,1978,1966.0,6,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,0.0,Charlie Isaak,R,11.38,Hawaii,15697.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,1.0,Daniel Akaka ,D,85.73,Hawaii,118272.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 2,0.0,Edwin Brown Firmage,D,35.3,Utah,68899.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,1.0,K. Gunn McKay ,D,51.03,Utah,93892.0,1,1978,1972.0,3,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 15,0.0,R.L. (Lendy) McDonald,R,33.8,Texas,27853.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 21,1.0,James C. Corman ,D,59.5,California,73869.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 8,0.0,Michael D. Barnes,D,51.27,Maryland,81851.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 1,1.0,Cecil Heftel ,D,73.26,Hawaii,84552.0,1,1978,1978.0,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 21,0.0,Rod Walsh,R,35.9,California,44519.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 12,1.0,Pete McCloskey ,R,73.1,California,116982.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 23,0.0,Joseph Barbara,R,34.4,California,61496.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 29,1.0,Augustus F. Hawkins ,D,85.0,California,65214.0,1,1978,1974.0,2,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
District 12,0.0,Kirsten Olsen,D,21.5,California,34472.0,0,1978,,0,5.8,0.0,1.0,D,0.455,292.0,143.0,D,
