district,is_incumbent,name,party,percent,state,votes,won,year,first_time_elected,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 7,0.0,"Smith Ely, Jr.",D,74.2,New York,12464.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 14,0.0,Minard Harder,R,44.9,New York,14726.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 14,0.0,Eli Perry,D,54.1,New York,17716.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 9,0.0,Fernando Wood,D,64.8,New York,15620.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 10,0.0,Clarkson Nott Potter,D,57.1,New York,14249.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 2,1.0,Aaron Augustus Sargent ,R,54.0,California,18065.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 5,0.0,William R. Roberts,D,85.6,New York,14566.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 1,0.0,Hy C. Goodling,R,46.6,Indiana,15327.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 15,0.0,Joseph M. Warren,D,59.9,New York,17793.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 3,0.0,George Pearce,D,48.3,California,17309.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 1,0.0,Sherman Otis Houghton,R,51.6,California,25971.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 1,0.0,Lawrence Archer,D,48.4,California,24374.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 2,0.0,James W. Coffroth,D,46.0,California,15382.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 1,1.0,William E. Niblack,D,53.4,Indiana,17577.0,1,1870,1864.0,4,,0.0,1.0,R,,67.0,171.0,R,
District 8,0.0,George Wilkes,R,29.5,New York,7149.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 8,0.0,James Brooks,D,53.0,New York,12845.0,1,1870,1870.0,0,,0.0,1.0,R,,67.0,171.0,R,
District 5,0.0,James A. Briggs,R,13.5,New York,2287.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 7,0.0,David Hunter McAlpin,R,20.3,New York,3403.0,0,1870,,0,,0.0,1.0,R,,67.0,171.0,R,
District 2,0.0,Horace F. Page,R,51.9,California,13803.0,1,1872,1872.0,0,,1.0,0.0,R,,104.0,139.0,R,
District 3,1.0,John M. Coghlan ,R,48.3,California,13105.0,0,1872,,0,,1.0,0.0,R,,104.0,139.0,R,
District 1,1.0,William E. Niblack,D,50.2,Indiana,19259.0,1,1872,1864.0,5,,1.0,0.0,R,,104.0,139.0,R,
District 2,0.0,Pasz Coggins,D,48.1,California,12816.0,0,1872,,0,,1.0,0.0,R,,104.0,139.0,R,
District 1,0.0,Charles Clayton,R,52.3,California,11938.0,1,1872,1872.0,0,,1.0,0.0,R,,104.0,139.0,R,
District 4,1.0,Sherman Otis Houghton ,R,53.5,California,10391.0,1,1872,1872.0,0,,1.0,0.0,R,,104.0,139.0,R,
District 4,0.0,Edward J. Kewen,D,46.5,California,9012.0,0,1872,,0,,1.0,0.0,R,,104.0,139.0,R,
District 3,0.0,John K. Luttrell,D,51.7,California,14032.0,1,1872,1872.0,0,,1.0,0.0,R,,104.0,139.0,R,
District 1,0.0,Heilman,R,49.8,Indiana,19127.0,0,1872,,0,,1.0,0.0,R,,104.0,139.0,R,
District 1,0.0,William Adam Piper,D,47.7,California,10883.0,0,1872,1874.0,0,,1.0,0.0,R,,104.0,139.0,R,
District 1,,William Adam Piper,D,49.1,California,12417.0,1,1874,1874.0,0,,0.0,0.0,R,,89.0,203.0,R,
District 3,1.0,John K. Luttrell ,D,55.1,California,18468.0,1,1874,1874.0,0,,0.0,0.0,R,,89.0,203.0,R,
District 3,0.0,C. B. Denio,R,24.7,California,8284.0,0,1874,,0,,0.0,0.0,R,,89.0,203.0,R,
District 2,1.0,Horace F. Page ,R,43.4,California,13624.0,1,1874,1874.0,0,,0.0,0.0,R,,89.0,203.0,R,
District 1,,Heilman,R,49.3,Indiana,12527.0,0,1874,,0,,0.0,0.0,R,,89.0,203.0,R,
District 2,0.0,Hy Larkin,D,38.8,California,12154.0,0,1874,,0,,0.0,0.0,R,,89.0,203.0,R,
District 1,0.0,Ira P. Rankin,R,26.8,California,6791.0,0,1874,,0,,0.0,0.0,R,,89.0,203.0,R,
District 4,0.0,Peter D. Wigginton,D,48.8,California,15649.0,1,1874,1874.0,0,,0.0,0.0,R,,89.0,203.0,R,
District 4,1.0,Sherman Otis Houghton ,R,34.6,California,11090.0,0,1874,1872.0,1,,0.0,0.0,R,,89.0,203.0,R,
District 1,0.0,Benoni S. Fuller,D,50.7,Indiana,12864.0,1,1874,1874.0,0,,0.0,0.0,R,,89.0,203.0,R,
District 1,1.0,Benoni S. Fuller,D,50.6,Indiana,14727.0,1,1876,1874.0,1,,1.0,1.0,R,,183.0,106.0,D,
