state,district,won,won_pred,rel_won_proba,correct_pred
Georgia,District 11,1,1.0,0.993327382412153,True
Georgia,District 12,1,1.0,0.909303187563036,True
Georgia,District 13,0,0.0,0.9980051667002806,True
Georgia,District 14,1,1.0,0.9943056629104551,True
Georgia,District 2,0,0.0,0.990190809065235,True
Georgia,District 3,1,1.0,0.8739913900580627,True
Georgia,District 4,0,0.0,0.9971061658287245,True
Georgia,District 5,0,0.0,1.0,True
Georgia,District 6,0,1.0,0.9973193617197682,False
Georgia,District 7,1,1.0,0.8188353536932522,True
Georgia,District 8,1,1.0,1.0,True
Georgia,District 9,1,1.0,0.9963540524509898,True
Hawaii,District 1,0,0.0,0.9789490630017557,True
Hawaii,District 2,0,0.0,0.9980045092732873,True
Idaho,District 1,1,0.0,0.6924277288915623,False
Idaho,District 2,1,1.0,0.996112491308176,True
Illinois,District 1,0,0.0,0.9909700857900072,True
Illinois,District 10,0,0.0,0.9156224880319076,True
Illinois,District 11,0,0.0,0.699694263938034,True
Illinois,District 12,1,1.0,0.9239066869066082,True
Illinois,District 13,1,1.0,0.9068973979739902,True
Illinois,District 14,0,1.0,0.9070774303706758,False
Illinois,District 15,1,1.0,0.9770753994089286,True
Illinois,District 16,1,1.0,0.9648514278497917,True
Illinois,District 17,0,0.0,0.9693858684176923,True
Illinois,District 18,1,1.0,0.9761465478542706,True
Illinois,District 2,0,0.0,0.9904583363140841,True
Illinois,District 3,0,0.0,0.9685570438226714,True
Illinois,District 4,0,0.0,0.7141510018335729,True
Illinois,District 5,0,0.0,0.9430529752786317,True
Illinois,District 6,0,1.0,0.925374279365512,False
Illinois,District 7,0,0.0,0.9557932286086869,True
Illinois,District 8,0,0.0,0.9541654200694241,True
Illinois,District 9,0,0.0,0.828320640307935,True
Indiana,District 1,0,0.0,0.9845036214572677,True
Indiana,District 2,1,1.0,0.9029494466591266,True
Indiana,District 3,1,1.0,0.8909596938735165,True
Indiana,District 4,1,1.0,0.987118892587862,True
Indiana,District 5,1,1.0,0.996528716421036,True
Indiana,District 6,1,1.0,0.9908233104013228,True
Indiana,District 7,0,0.0,0.9979740124969085,True
Indiana,District 8,1,1.0,0.9860464153217335,True
Indiana,District 9,1,1.0,0.9193245012392222,True
Iowa,District 1,0,1.0,0.9161229443126808,False
Iowa,District 2,0,0.0,0.9909857731802547,True
Iowa,District 3,0,1.0,0.9207749546934948,False
Iowa,District 4,1,1.0,0.820840421179381,True
Kansas,District 1,1,1.0,0.8296185189998435,True
Kansas,District 2,1,1.0,0.7973927329162859,True
Kansas,District 3,0,1.0,0.9925419146689171,False
Kansas,District 4,1,1.0,0.9925856902982102,True
Kentucky,District 1,1,1.0,0.9972111179746225,True
Kentucky,District 2,1,1.0,0.9963021398214917,True
Kentucky,District 3,0,0.0,0.9616132782686252,True
Kentucky,District 4,1,1.0,0.9965884071610733,True
Kentucky,District 5,1,1.0,0.9932685570341615,True
Kentucky,District 6,1,1.0,0.8448057218515783,True
Louisiana,District 1,1,1.0,0.9803377356625258,True
Louisiana,District 2,0,0.0,1.0,True
Louisiana,District 3,1,1.0,0.673524426749911,True
Louisiana,District 4,1,1.0,0.8295761393366847,True
Louisiana,District 5,1,1.0,0.993327380264003,True
Louisiana,District 6,1,1.0,0.8141303299596786,True
Maine,District 1,0,0.0,0.9973690255248298,True
Maine,District 2,1,1.0,0.9098108355346657,True
Maryland,District 1,1,1.0,0.8567775847065826,True
Maryland,District 2,0,0.0,0.9695515983758946,True
Maryland,District 3,0,0.0,0.9980047866746459,True
Maryland,District 4,0,0.0,0.9979416791756464,True
Maryland,District 5,0,0.0,0.9552993221648286,True
Maryland,District 6,0,1.0,0.9104017814556484,False
Maryland,District 7,0,0.0,0.8224696552111972,True
Maryland,District 8,0,0.0,0.9484380887651807,True
Massachusetts,District 1,0,0.0,1.0,True
Massachusetts,District 2,0,0.0,0.9610581943760522,True
Massachusetts,District 3,0,0.0,0.9717279692289598,True
Massachusetts,District 4,0,0.0,1.0,True
Massachusetts,District 5,0,0.0,0.9903969554653209,True
Massachusetts,District 6,0,0.0,0.718084831748326,True
Massachusetts,District 7,0,0.0,1.0,True
Massachusetts,District 8,0,0.0,1.0,True
Massachusetts,District 9,0,0.0,0.8067473208606505,True
Michigan,District 1,1,1.0,0.8797084181251162,True
Michigan,District 10,1,1.0,0.9943903340597969,True
Michigan,District 11,0,1.0,0.7545539113724539,False
Michigan,District 12,0,0.0,0.8093931075293563,True
Michigan,District 13,0,0.0,0.3982574665111208,True
Michigan,District 14,0,0.0,0.7861733520626921,True
Michigan,District 2,1,1.0,0.9773477505861925,True
Michigan,District 3,1,1.0,0.9069134859411272,True
Michigan,District 4,1,1.0,0.9017510528187115,True
Michigan,District 5,0,0.0,0.8259010160520709,True
Michigan,District 6,1,1.0,0.9318407742494434,True
Michigan,District 7,1,1.0,0.9135028030471962,True
Michigan,District 8,0,1.0,0.7586306280983621,False
Michigan,District 9,0,0.0,0.9917176183466093,True
Minnesota,District 1,1,1.0,0.6795801041247216,True
Minnesota,District 2,0,1.0,0.8634171225492043,False
Minnesota,District 3,0,1.0,0.9396128485300689,False
Minnesota,District 4,0,0.0,0.9699803456777731,True
Minnesota,District 5,0,0.0,0.9900453693633053,True
Minnesota,District 6,1,1.0,0.9335819295033214,True
Minnesota,District 7,0,0.0,0.997222600298105,True
Minnesota,District 8,1,1.0,0.6321903407390748,True
Mississippi,District 1,1,1.0,0.9592528087390404,True
Mississippi,District 2,0,0.0,1.0,True
Mississippi,District 3,1,1.0,0.6973384994365204,True
Mississippi,District 4,1,1.0,0.9791403771919053,True
Missouri,District 1,0,0.0,0.8804757728685729,True
Missouri,District 2,1,1.0,0.8186525485198783,True
Missouri,District 3,1,1.0,0.9944222065361124,True
Missouri,District 4,1,1.0,0.9020432099991099,True
Missouri,District 5,0,0.0,0.9905574508137346,True
Missouri,District 6,1,1.0,0.9968868692188164,True
Missouri,District 7,1,1.0,0.8503828198978711,True
Missouri,District 8,1,1.0,0.9061040894145861,True
Montana,At-Large,1,1.0,0.8273373096038571,True
Nebraska,District 1,1,1.0,0.9762470789251319,True
Nebraska,District 2,1,1.0,0.8911659006543469,True
Nebraska,District 3,1,1.0,0.89613593847498,True
Nevada,District 1,0,0.0,0.998004590775039,True
Nevada,District 2,1,1.0,0.9933294247673028,True
Nevada,District 3,0,1.0,0.8499258037986505,False
Nevada,District 4,0,0.0,0.5316703903629475,True
New Hampshire,District 1,0,1.0,0.6854380659671053,False
New Hampshire,District 2,0,0.0,0.8907655596704082,True
New Jersey,District 1,0,0.0,0.7924657972622732,True
New Jersey,District 10,0,0.0,0.8784710053133071,True
New Jersey,District 11,0,1.0,0.6807195130276896,False
New Jersey,District 12,0,0.0,0.8149431325830295,True
New Jersey,District 2,0,1.0,0.733184787714929,False
New Jersey,District 3,0,1.0,0.8841673805270651,False
New Jersey,District 4,1,1.0,0.9319731142452784,True
New Jersey,District 5,0,0.0,0.6891883112103566,True
New Jersey,District 6,0,0.0,0.7258604646265404,True
New Jersey,District 7,0,1.0,0.9425599109253948,False
New Jersey,District 8,0,0.0,0.879615490446279,True
New Jersey,District 9,0,0.0,0.7486740539225648,True
New Mexico,District 1,0,0.0,0.7181134418873113,True
New Mexico,District 2,0,0.0,0.6863869268318258,True
