request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2018&c-t-p=1,s,CA,CA,y,2018,2018,c-t-p,1,Democratic,158891,99898789.90
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2016&c-t-p=1,s,CA,CA,y,2016,2016,c-t-p,1,Democratic,135592,78951162.92
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2014&c-t-p=1,s,CA,CA,y,2014,2014,c-t-p,1,Democratic,89681,71015701.13
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2012&c-t-p=1,s,CA,CA,y,2012,2012,c-t-p,1,Democratic,74468,68013727.24
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2012&c-t-p=2,s,OH,OH,y,2012,2012,c-t-p,2,Republican,50504,56855221.59
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2012&c-t-p=2,s,FL,FL,y,2012,2012,c-t-p,2,Republican,74828,53005524.48
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2012&c-t-p=2,s,CA,CA,y,2012,2012,c-t-p,2,Republican,42280,51119850.86
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2016&c-t-p=1,s,NY,NY,y,2016,2016,c-t-p,1,Democratic,68057,49531495.30
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2018&c-t-p=2,s,TX,TX,y,2018,2018,c-t-p,2,Republican,29569,49128520.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2014&c-t-p=1,s,NY,NY,y,2014,2014,c-t-p,1,Democratic,56589,48589218.69
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2016&c-t-p=2,s,CA,CA,y,2016,2016,c-t-p,2,Republican,34108,47145277.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2016&c-t-p=2,s,TX,TX,y,2016,2016,c-t-p,2,Republican,35599,46754816.64
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2014&c-t-p=2,s,CA,CA,y,2014,2014,c-t-p,2,Republican,42529,46654622.73
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2010&c-t-p=1,s,CA,CA,y,2010,2010,c-t-p,1,Democratic,50155,46344607.06
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2010&c-t-p=1,s,NY,NY,y,2010,2010,c-t-p,1,Democratic,46225,45095495.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2016&c-t-p=2,s,FL,FL,y,2016,2016,c-t-p,2,Republican,39517,44529710.69
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2012&c-t-p=1,s,NY,NY,y,2012,2012,c-t-p,1,Democratic,49238,44213227.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2010&c-t-p=2,s,CA,CA,y,2010,2010,c-t-p,2,Republican,46254,42988964.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2012&c-t-p=2,s,TX,TX,y,2012,2012,c-t-p,2,Republican,35528,41545263.23
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2016&c-t-p=1,s,FL,FL,y,2016,2016,c-t-p,1,Democratic,49992,40052260.67
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2018&c-t-p=1,s,NY,NY,y,2018,2018,c-t-p,1,Democratic,46021,40050532.57
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2014&c-t-p=2,s,TX,TX,y,2014,2014,c-t-p,2,Republican,32649,39768139.60
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2014&c-t-p=2,s,OH,OH,y,2014,2014,c-t-p,2,Republican,31529,38614128.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2018&c-t-p=2,s,CA,CA,y,2018,2018,c-t-p,2,Republican,27878,38422082.94
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2018&c-t-p=1,s,TX,TX,y,2018,2018,c-t-p,1,Democratic,45331,33873477.92
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2010&c-t-p=2,s,OH,OH,y,2010,2010,c-t-p,2,Republican,38864,32947457.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2010&c-t-p=2,s,TX,TX,y,2010,2010,c-t-p,2,Republican,31636,32706822.93
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2016&c-t-p=1,s,MD,MD,y,2016,2016,c-t-p,1,Democratic,22261,32217952.38
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2018&c-t-p=1,s,IL,IL,y,2018,2018,c-t-p,1,Democratic,59470,31551824.51
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2014&c-t-p=2,s,FL,FL,y,2014,2014,c-t-p,2,Republican,24357,31515724.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2010&c-t-p=2,s,FL,FL,y,2010,2010,c-t-p,2,Republican,36612,30744799.02
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2012&c-t-p=2,s,IL,IL,y,2012,2012,c-t-p,2,Republican,27913,30145097.74
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2017&c-t-p=1,s,GA,GA,y,2017,2017,c-t-p,1,Democratic,168740,29654510.01
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2012&c-t-p=1,s,FL,FL,y,2012,2012,c-t-p,1,Democratic,48427,29581154.64
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2010&c-t-p=2,s,PA,PA,y,2010,2010,c-t-p,2,Republican,36461,28741459.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2016&c-t-p=2,s,WI,WI,y,2016,2016,c-t-p,2,Republican,60972,28187599.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2010&c-t-p=1,s,PA,PA,y,2010,2010,c-t-p,1,Democratic,31440,27935246.94
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2018&c-t-p=1,s,MD,MD,y,2018,2018,c-t-p,1,Democratic,14529,27916694.87
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2018&c-t-p=1,s,FL,FL,y,2018,2018,c-t-p,1,Democratic,47642,27565499.22
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2010&c-t-p=1,s,FL,FL,y,2010,2010,c-t-p,1,Democratic,30532,27212058.28
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2014&c-t-p=1,s,FL,FL,y,2014,2014,c-t-p,1,Democratic,43244,26540225.94
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2010&c-t-p=2,s,NY,NY,y,2010,2010,c-t-p,2,Republican,19537,25805000.71
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2012&c-t-p=1,s,IL,IL,y,2012,2012,c-t-p,1,Democratic,62546,25659823.31
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2012&c-t-p=1,s,TX,TX,y,2012,2012,c-t-p,1,Democratic,18569,25642124.09
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2014&c-t-p=2,s,NY,NY,y,2014,2014,c-t-p,2,Republican,20007,25475198.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2016&c-t-p=2,s,PA,PA,y,2016,2016,c-t-p,2,Republican,19952,24904315.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2016&c-t-p=2,s,NY,NY,y,2016,2016,c-t-p,2,Republican,22314,24888064.05
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2010&c-t-p=2,s,VA,VA,y,2010,2010,c-t-p,2,Republican,21537,24589546.77
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2012&c-t-p=2,s,NY,NY,y,2012,2012,c-t-p,2,Republican,21314,24489255.21
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2016&c-t-p=1,s,IL,IL,y,2016,2016,c-t-p,1,Democratic,57831,24454215.98
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2012&c-t-p=2,s,MN,MN,y,2012,2012,c-t-p,2,Republican,42943,24321230.05
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2018&c-t-p=1,s,NJ,NJ,y,2018,2018,c-t-p,1,Democratic,28543,23961180.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2014&c-t-p=2,s,MI,MI,y,2014,2014,c-t-p,2,Republican,16114,23831931.02
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2014&c-t-p=1,s,IL,IL,y,2014,2014,c-t-p,1,Democratic,39454,23650988.38
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2018&c-t-p=2,s,FL,FL,y,2018,2018,c-t-p,2,Republican,21702,23388019.37
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2014&c-t-p=2,s,PA,PA,y,2014,2014,c-t-p,2,Republican,20736,23344862.73
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2016&c-t-p=2,s,IL,IL,y,2016,2016,c-t-p,2,Republican,18713,22797212.91
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2012&c-t-p=2,s,PA,PA,y,2012,2012,c-t-p,2,Republican,21415,22007135.52
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2010&c-t-p=1,s,IL,IL,y,2010,2010,c-t-p,1,Democratic,24701,21718127.98
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2016&c-t-p=2,s,OH,OH,y,2016,2016,c-t-p,2,Republican,18391,21690551.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2014&c-t-p=2,s,IL,IL,y,2014,2014,c-t-p,2,Republican,18727,21548587.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2010&c-t-p=2,s,MI,MI,y,2010,2010,c-t-p,2,Republican,20900,21029478.32
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2010&c-t-p=2,s,IL,IL,y,2010,2010,c-t-p,2,Republican,26279,20870393.71
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2012&c-t-p=2,s,VA,VA,y,2012,2012,c-t-p,2,Republican,16768,20649753.93
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2010&c-t-p=2,s,MN,MN,y,2010,2010,c-t-p,2,Republican,46275,20109555.36
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2012&c-t-p=2,s,NC,NC,y,2012,2012,c-t-p,2,Republican,19510,19998004.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2014&c-t-p=2,s,VA,VA,y,2014,2014,c-t-p,2,Republican,17239,19489901.72
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2018&c-t-p=1,s,MA,MA,y,2018,2018,c-t-p,1,Democratic,23317,19246847.38
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2016&c-t-p=2,s,NC,NC,y,2016,2016,c-t-p,2,Republican,16100,18941561.29
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2018&c-t-p=2,s,OH,OH,y,2018,2018,c-t-p,2,Republican,12914,18717526.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2014&c-t-p=2,s,GA,GA,y,2014,2014,c-t-p,2,Republican,18271,18674342.63
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2012&c-t-p=2,s,MI,MI,y,2012,2012,c-t-p,2,Republican,15704,18540208.53
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2016&c-t-p=2,s,MI,MI,y,2016,2016,c-t-p,2,Republican,11902,18299401.83
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2010&c-t-p=2,s,TN,TN,y,2010,2010,c-t-p,2,Republican,12941,18245813.72
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2018&c-t-p=2,s,IL,IL,y,2018,2018,c-t-p,2,Republican,12727,17932711.52
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2014&c-t-p=1,s,MA,MA,y,2014,2014,c-t-p,1,Democratic,20799,17898044.96
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2010&c-t-p=1,s,OH,OH,y,2010,2010,c-t-p,1,Democratic,19780,17538147.17
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2016&c-t-p=2,s,AZ,AZ,y,2016,2016,c-t-p,2,Republican,23614,17442925.77
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2018&c-t-p=2,s,NY,NY,y,2018,2018,c-t-p,2,Republican,14008,17289794.62
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2010&c-t-p=1,s,MA,MA,y,2010,2010,c-t-p,1,Democratic,22128,16984258.07
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2016&c-t-p=1,s,TX,TX,y,2016,2016,c-t-p,1,Democratic,13897,16846073.64
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2014&c-t-p=2,s,WI,WI,y,2014,2014,c-t-p,2,Republican,72291,16818504.97
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2012&c-t-p=1,s,PA,PA,y,2012,2012,c-t-p,1,Democratic,19690,16814992.28
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IN&y=2016&c-t-p=2,s,IN,IN,y,2016,2016,c-t-p,2,Republican,12229,16770336.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2018&c-t-p=2,s,NC,NC,y,2018,2018,c-t-p,2,Republican,11991,16515066.36
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CO&y=2012&c-t-p=2,s,CO,CO,y,2012,2012,c-t-p,2,Republican,14199,16480723.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2012&c-t-p=1,s,MD,MD,y,2012,2012,c-t-p,1,Democratic,10535,16224437.67
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2010&c-t-p=1,s,MI,MI,y,2010,2010,c-t-p,1,Democratic,17630,16145575.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2018&c-t-p=1,s,VA,VA,y,2018,2018,c-t-p,1,Democratic,22695,15982178.21
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2012&c-t-p=2,s,GA,GA,y,2012,2012,c-t-p,2,Republican,17104,15784551.20
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2014&c-t-p=1,s,AZ,AZ,y,2014,2014,c-t-p,1,Democratic,29863,15756296.39
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2016&c-t-p=1,s,MN,MN,y,2016,2016,c-t-p,1,Democratic,22526,15543744.75
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2012&c-t-p=1,s,MA,MA,y,2012,2012,c-t-p,1,Democratic,21052,15503523.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2010&c-t-p=2,s,AZ,AZ,y,2010,2010,c-t-p,2,Republican,19605,15486102.59
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2010&c-t-p=1,s,TX,TX,y,2010,2010,c-t-p,1,Democratic,13761,15441820.74
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2017&c-t-p=2,s,GA,GA,y,2017,2017,c-t-p,2,Republican,12085,15136746.55
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2012&c-t-p=1,s,MI,MI,y,2012,2012,c-t-p,1,Democratic,16954,14991876.38
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MA&y=2016&c-t-p=1,s,MA,MA,y,2016,2016,c-t-p,1,Democratic,17071,14772830.42
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2014&c-t-p=2,s,NC,NC,y,2014,2014,c-t-p,2,Republican,15069,14730113.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WA&y=2018&c-t-p=1,s,WA,WA,y,2018,2018,c-t-p,1,Democratic,23008,14665808.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2018&c-t-p=1,s,MI,MI,y,2018,2018,c-t-p,1,Democratic,24359,14648861.03
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2010&c-t-p=1,s,VA,VA,y,2010,2010,c-t-p,1,Democratic,16324,14574231.40
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2018&c-t-p=2,s,MI,MI,y,2018,2018,c-t-p,2,Republican,10452,14453808.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2016&c-t-p=2,s,TN,TN,y,2016,2016,c-t-p,2,Republican,8891,14371833.53
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2012&c-t-p=2,s,AZ,AZ,y,2012,2012,c-t-p,2,Republican,14197,14315051.73
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2016&c-t-p=1,s,NJ,NJ,y,2016,2016,c-t-p,1,Democratic,14962,14175086.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2014&c-t-p=2,s,NJ,NJ,y,2014,2014,c-t-p,2,Republican,9285,14136029.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2010&c-t-p=2,s,GA,GA,y,2010,2010,c-t-p,2,Republican,13631,13988309.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=GA&y=2016&c-t-p=2,s,GA,GA,y,2016,2016,c-t-p,2,Republican,11809,13923501.28
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WA&y=2016&c-t-p=1,s,WA,WA,y,2016,2016,c-t-p,1,Democratic,19795,13795103.16
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WA&y=2012&c-t-p=1,s,WA,WA,y,2012,2012,c-t-p,1,Democratic,13959,13781845.25
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IN&y=2010&c-t-p=2,s,IN,IN,y,2010,2010,c-t-p,2,Republican,16097,13722460.58
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2018&c-t-p=1,s,WI,WI,y,2018,2018,c-t-p,1,Democratic,45172,13664849.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2014&c-t-p=1,s,TX,TX,y,2014,2014,c-t-p,1,Democratic,12579,13651134.18
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CT&y=2012&c-t-p=1,s,CT,CT,y,2012,2012,c-t-p,1,Democratic,14650,13634214.42
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2010&c-t-p=1,s,NJ,NJ,y,2010,2010,c-t-p,1,Democratic,15368,13586559.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2018&c-t-p=1,s,PA,PA,y,2018,2018,c-t-p,1,Democratic,16664,13569025.18
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2014&c-t-p=2,s,LA,LA,y,2014,2014,c-t-p,2,Republican,11408,13471471.93
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2012&c-t-p=2,s,TN,TN,y,2012,2012,c-t-p,2,Republican,10394,13410894.67
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2016&c-t-p=1,s,MI,MI,y,2016,2016,c-t-p,1,Democratic,23323,13393246.94
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2010&c-t-p=2,s,SC,SC,y,2010,2010,c-t-p,2,Republican,13109,13336590.69
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2010&c-t-p=1,s,MN,MN,y,2010,2010,c-t-p,1,Democratic,18521,13327494.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2014&c-t-p=1,s,NJ,NJ,y,2014,2014,c-t-p,1,Democratic,14379,13272086.77
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2016&c-t-p=2,s,LA,LA,y,2016,2016,c-t-p,2,Republican,9234,13211998.78
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2016&c-t-p=2,s,VA,VA,y,2016,2016,c-t-p,2,Republican,13004,13062003.35
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2012&c-t-p=2,s,LA,LA,y,2012,2012,c-t-p,2,Republican,10807,12811198.03
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2016&c-t-p=2,s,MN,MN,y,2016,2016,c-t-p,2,Republican,10193,12757665.38
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2012&c-t-p=1,s,NJ,NJ,y,2012,2012,c-t-p,1,Democratic,15219,12680910.89
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2010&c-t-p=1,s,MD,MD,y,2010,2010,c-t-p,1,Democratic,11137,12491329.91
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2012&c-t-p=3,s,CA,CA,y,2012,2012,c-t-p,3,Third-Party,1237,12430783.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2016&c-t-p=1,s,PA,PA,y,2016,2016,c-t-p,1,Democratic,20510,12381290.75
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WA&y=2010&c-t-p=1,s,WA,WA,y,2010,2010,c-t-p,1,Democratic,11494,12364889.57
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2010&c-t-p=2,s,KS,KS,y,2010,2010,c-t-p,2,Republican,12197,12239614.32
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2014&c-t-p=1,s,VA,VA,y,2014,2014,c-t-p,1,Democratic,16867,12156885.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2012&c-t-p=2,s,WI,WI,y,2012,2012,c-t-p,2,Republican,32300,12136638.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2018&c-t-p=1,s,AZ,AZ,y,2018,2018,c-t-p,1,Democratic,27744,12105189.01
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2012&c-t-p=1,s,AZ,AZ,y,2012,2012,c-t-p,1,Democratic,17061,12023580.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2018&c-t-p=2,s,TN,TN,y,2018,2018,c-t-p,2,Republican,6826,11926437.39
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2018&c-t-p=1,s,OH,OH,y,2018,2018,c-t-p,1,Democratic,27143,11890549.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2014&c-t-p=2,s,MN,MN,y,2014,2014,c-t-p,2,Republican,10960,11886521.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2010&c-t-p=1,s,AZ,AZ,y,2010,2010,c-t-p,1,Democratic,14712,11835481.05
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2012&c-t-p=1,s,MN,MN,y,2012,2012,c-t-p,1,Democratic,17367,11761696.53
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IN&y=2014&c-t-p=2,s,IN,IN,y,2014,2014,c-t-p,2,Republican,10593,11757700.17
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2010&c-t-p=2,s,NC,NC,y,2010,2010,c-t-p,2,Republican,11934,11654068.89
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CT&y=2010&c-t-p=1,s,CT,CT,y,2010,2010,c-t-p,1,Democratic,13729,11608801.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2014&c-t-p=1,s,MD,MD,y,2014,2014,c-t-p,1,Democratic,9986,11551173.14
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2014&c-t-p=1,s,MI,MI,y,2014,2014,c-t-p,1,Democratic,17736,11516342.86
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2010&c-t-p=2,s,NJ,NJ,y,2010,2010,c-t-p,2,Republican,9900,11392194.48
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=LA&y=2010&c-t-p=2,s,LA,LA,y,2010,2010,c-t-p,2,Republican,11373,11375640.85
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2014&c-t-p=2,s,AZ,AZ,y,2014,2014,c-t-p,2,Republican,12099,10959080.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AL&y=2014&c-t-p=2,s,AL,AL,y,2014,2014,c-t-p,2,Republican,8416,10956440.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WA&y=2012&c-t-p=2,s,WA,WA,y,2012,2012,c-t-p,2,Republican,9358,10948854.86
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=PA&y=2014&c-t-p=1,s,PA,PA,y,2014,2014,c-t-p,1,Democratic,14457,10938429.72
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2018&c-t-p=2,s,VA,VA,y,2018,2018,c-t-p,2,Republican,9992,10774275.42
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MO&y=2010&c-t-p=2,s,MO,MO,y,2010,2010,c-t-p,2,Republican,16849,10680360.13
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CO&y=2014&c-t-p=1,s,CO,CO,y,2014,2014,c-t-p,1,Democratic,23379,10617573.59
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IN&y=2012&c-t-p=2,s,IN,IN,y,2012,2012,c-t-p,2,Republican,11555,10585346.70
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2018&c-t-p=2,s,MN,MN,y,2018,2018,c-t-p,2,Republican,8631,10545374.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2016&c-t-p=2,s,NJ,NJ,y,2016,2016,c-t-p,2,Republican,9293,10543969.19
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2014&c-t-p=2,s,TN,TN,y,2014,2014,c-t-p,2,Republican,9964,10543401.10
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=WI&y=2010&c-t-p=2,s,WI,WI,y,2010,2010,c-t-p,2,Republican,13591,10306327.51
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2016&c-t-p=1,s,AZ,AZ,y,2016,2016,c-t-p,1,Democratic,15895,10278592.44
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VA&y=2016&c-t-p=1,s,VA,VA,y,2016,2016,c-t-p,1,Democratic,14636,10236876.59
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2012&c-t-p=1,s,OH,OH,y,2012,2012,c-t-p,1,Democratic,11767,10227859.20
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IN&y=2018&c-t-p=2,s,IN,IN,y,2018,2018,c-t-p,2,Republican,6961,10221352.22
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MO&y=2016&c-t-p=2,s,MO,MO,y,2016,2016,c-t-p,2,Republican,7650,10186577.67
