request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SD&y=2010&c-t-p=3,s,SD,SD,y,2010,2010,c-t-p,3,Third-Party,11,6887.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=DE&y=2010&c-t-p=3,s,DE,DE,y,2010,2010,c-t-p,3,Third-Party,17,6874.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2014&c-t-p=3,s,OH,OH,y,2014,2014,c-t-p,3,Third-Party,21,6693.21
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=DE&y=2018&c-t-p=2,s,DE,DE,y,2018,2018,c-t-p,2,Republican,15,5750.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=VT&y=2018&c-t-p=2,s,VT,VT,y,2018,2018,c-t-p,2,Republican,3,5650.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2012&c-t-p=3,s,NJ,NJ,y,2012,2012,c-t-p,3,Third-Party,8,5536.22
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MO&y=2013&c-t-p=3,s,MO,MO,y,2013,2013,c-t-p,3,Third-Party,9,5530.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2016&c-t-p=3,s,IL,IL,y,2016,2016,c-t-p,3,Third-Party,18,5493.36
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=SC&y=2017&c-t-p=3,s,SC,SC,y,2017,2017,c-t-p,3,Third-Party,13,5351.68
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MT&y=2018&c-t-p=3,s,MT,MT,y,2018,2018,c-t-p,3,Third-Party,18,4725.17
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=AZ&y=2018&c-t-p=3,s,AZ,AZ,y,2018,2018,c-t-p,3,Third-Party,4,4644.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OK&y=2016&c-t-p=3,s,OK,OK,y,2016,2016,c-t-p,3,Third-Party,1,4500.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NC&y=2012&c-t-p=3,s,NC,NC,y,2012,2012,c-t-p,3,Third-Party,46,4466.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=IL&y=2010&c-t-p=3,s,IL,IL,y,2010,2010,c-t-p,3,Third-Party,22,4442.88
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=RI&y=2018&c-t-p=2,s,RI,RI,y,2018,2018,c-t-p,2,Republican,6,4407.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MI&y=2014&c-t-p=3,s,MI,MI,y,2014,2014,c-t-p,3,Third-Party,13,4121.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MN&y=2016&c-t-p=3,s,MN,MN,y,2016,2016,c-t-p,3,Third-Party,13,3817.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2016&c-t-p=3,s,TX,TX,y,2016,2016,c-t-p,3,Third-Party,13,3808.45
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TN&y=2018&c-t-p=3,s,TN,TN,y,2018,2018,c-t-p,3,Third-Party,8,3756.24
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KS&y=2012&c-t-p=3,s,KS,KS,y,2012,2012,c-t-p,3,Third-Party,15,3246.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MD&y=2014&c-t-p=3,s,MD,MD,y,2014,2014,c-t-p,3,Third-Party,13,3067.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NJ&y=2018&c-t-p=3,s,NJ,NJ,y,2018,2018,c-t-p,3,Third-Party,3,2819.87
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=KY&y=2012&c-t-p=3,s,KY,KY,y,2012,2012,c-t-p,3,Third-Party,3,2760.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=MO&y=2016&c-t-p=3,s,MO,MO,y,2016,2016,c-t-p,3,Third-Party,4,2663.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ID&y=2010&c-t-p=3,s,ID,ID,y,2010,2010,c-t-p,3,Third-Party,9,2645.86
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=ND&y=2016&c-t-p=3,s,ND,ND,y,2016,2016,c-t-p,3,Third-Party,6,2530.00
