request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=176806&c-t-p=2,c-t-id,176806,"RYAN, PAUL D",c-t-eid,7432657,"RYAN, PAUL D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2014,2014,c-r-t,1,Standard,c-r-osid,15398,"US HOUSE DISTRICT WI 001",c-t-ico,I,Incumbent,62057,9163066.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=140849&c-t-p=2,c-t-id,140849,"CANTOR, ERIC I",c-t-eid,6568554,"CANTOR, ERIC I",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15382,"US HOUSE DISTRICT VA 007",c-t-ico,I,Incumbent,4951,8958166.99
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=211690&c-t-p=2,c-t-id,211690,"MCSALLY, MARTHA E",c-t-eid,17657675,"MCSALLY, MARTHA E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AZ,AZ,y,2016,2016,c-r-t,1,Standard,c-r-osid,14988,"US HOUSE DISTRICT AZ 002",c-t-ico,I,Incumbent,17669,8110830.82
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227264&c-t-p=2,c-t-id,227264,"NUNES, DEVIN G",c-t-eid,2429326,"NUNES, DEVIN G",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15017,"US HOUSE DISTRICT CA 022",c-t-ico,I,Incumbent,5780,7418928.79
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227996&c-t-p=1,c-t-id,227996,"LAMB, CONOR",c-t-eid,44045038,"LAMB, CONOR",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,PA,PA,y,2018,2018,c-r-t,3,Special,c-r-osid,15316,"US HOUSE DISTRICT PA 018",c-t-ico,O,Open,10279,7325507.97
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=221582&c-t-p=2,c-t-id,221582,"HANDEL, KAREN CHRISTINE",c-t-eid,6805507,"HANDEL, KAREN CHRISTINE",c-t-ftsts,"Won-General Runoff","Won-General Runoff",c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,GA,GA,y,2017,2017,c-r-t,3,Special,c-r-osid,15094,"US HOUSE DISTRICT GA 006",c-t-ico,O,Open,10646,6861710.65
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=221572&c-t-p=1,c-t-id,221572,"QUIST, ROBERT (ROB)",c-t-eid,7819270,"QUIST, ROBERT (ROB)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MT,MT,y,2017,2017,c-r-t,3,Special,c-r-osid,15207,"US HOUSE DISTRICT MT 001",c-t-ico,O,Open,20242,6587469.25
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227023&c-t-p=2,c-t-id,227023,"MCCARTHY, KEVIN",c-t-eid,331199,"MCCARTHY, KEVIN",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15018,"US HOUSE DISTRICT CA 023",c-t-ico,I,Incumbent,1217,6587243.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=228211&c-t-p=1,c-t-id,228211,"BRYCE, RANDY",c-t-eid,13736081,"BRYCE, RANDY",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2018,2018,c-r-t,1,Standard,c-r-osid,15398,"US HOUSE DISTRICT WI 001",c-t-ico,O,Open,29252,6403541.81
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=197439&c-t-p=2,c-t-id,197439,"ZINKE, RYAN K",c-t-eid,6675530,"ZINKE, RYAN K",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MT,MT,y,2016,2016,c-r-t,1,Standard,c-r-osid,15207,"US HOUSE DISTRICT MT 001",c-t-ico,I,Incumbent,18477,6376461.90
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=237368&c-t-p=2,c-t-id,237368,"WALL, KATHALEEN",c-t-eid,11802152,"WALL, KATHALEEN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,TX,TX,y,2018,2018,c-r-t,1,Standard,c-r-osid,15337,"US HOUSE DISTRICT TX 002",c-t-ico,O,Open,70,6056448.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160490&c-t-p=2,c-t-id,160490,"WEST, ALLEN B",c-t-eid,12266050,"WEST, ALLEN B",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2010,2010,c-r-t,1,Standard,c-r-osid,15083,"US HOUSE DISTRICT FL 022",c-t-ico,C,Challenger,10688,6039134.83
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=174109&c-t-p=2,c-t-id,174109,"CANTOR, ERIC I",c-t-eid,6568554,"CANTOR, ERIC I",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2014,2014,c-r-t,1,Standard,c-r-osid,15382,"US HOUSE DISTRICT VA 007",c-t-ico,I,Incumbent,3897,5969138.11
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=221578&c-t-p=2,c-t-id,221578,"MOODY, DAN",c-t-eid,43492012,"MOODY, DAN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,GA,GA,y,2017,2017,c-r-t,3,Special,c-r-osid,15094,"US HOUSE DISTRICT GA 006",c-t-ico,O,Open,130,5955002.90
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227333&c-t-p=1,c-t-id,227333,"KERR, PAUL",c-t-eid,2355127,"KERR, PAUL",c-t-ftsts,"Lost-Top Two Primary","Lost-Top Two Primary",c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15044,"US HOUSE DISTRICT CA 049",c-t-ico,O,Open,734,5930947.49
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160296&c-t-p=2,c-t-id,160296,"CANTOR, ERIC I",c-t-eid,6568554,"CANTOR, ERIC I",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15382,"US HOUSE DISTRICT VA 007",c-t-ico,I,Incumbent,3811,5901783.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=174008&c-t-p=1,c-t-id,174008,"ELDRIDGE, SEAN S",c-t-eid,4547633,"ELDRIDGE, SEAN S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2014,2014,c-r-t,1,Standard,c-r-osid,15264,"US HOUSE DISTRICT NY 019",c-t-ico,C,Challenger,8281,5740334.42
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160458&c-t-p=1,c-t-id,160458,"GRAYSON, ALAN MARK",c-t-eid,715393,"GRAYSON, ALAN MARK",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,FL,FL,y,2010,2010,c-r-t,1,Standard,c-r-osid,15069,"US HOUSE DISTRICT FL 008",c-t-ico,I,Incumbent,8613,5722276.41
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=168500&c-t-p=2,c-t-id,168500,"MACARTHUR, THOMAS C (TOM)",c-t-eid,196708,"MACARTHUR, THOMAS C (TOM)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,NJ,NJ,y,2014,2014,c-r-t,1,Standard,c-r-osid,15229,"US HOUSE DISTRICT NJ 003",c-t-ico,O,Open,818,5677379.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=219474&c-t-p=2,c-t-id,219474,"COMSTOCK, BARBARA J",c-t-eid,6680418,"COMSTOCK, BARBARA J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2016,2016,c-r-t,1,Standard,c-r-osid,15385,"US HOUSE DISTRICT VA 010",c-t-ico,I,Incumbent,5272,5606107.35
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227306&c-t-p=1,c-t-id,227306,"CISNEROS, GIL",c-t-eid,17779260,"CISNEROS, GIL",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CA,CA,y,2018,2018,c-r-t,1,Standard,c-r-osid,15034,"US HOUSE DISTRICT CA 039",c-t-ico,O,Open,867,5500435.91
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=195178&c-t-p=2,c-t-id,195178,"DOLD JR, ROBERT JAMES",c-t-eid,3286452,"DOLD JR, ROBERT JAMES",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,IL,IL,y,2016,2016,c-r-t,1,Standard,c-r-osid,15120,"US HOUSE DISTRICT IL 010",c-t-ico,I,Incumbent,4302,5480585.99
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=179066&c-t-p=1,c-t-id,179066,"MURPHY, PATRICK E",c-t-eid,323583,"MURPHY, PATRICK E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,FL,FL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15079,"US HOUSE DISTRICT FL 018",c-t-ico,I,Incumbent,6266,5420313.04
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141977&c-t-p=1,c-t-id,141977,"DUCKWORTH, LADDA (TAMMY)",c-t-eid,17658669,"DUCKWORTH, LADDA (TAMMY)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15118,"US HOUSE DISTRICT IL 008",c-t-ico,C,Challenger,8816,5391636.17
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=221604&c-t-p=2,c-t-id,221604,"GIANFORTE, GREGORY (GREG)",c-t-eid,7734214,"GIANFORTE, GREGORY (GREG)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MT,MT,y,2017,2017,c-r-t,3,Special,c-r-osid,15207,"US HOUSE DISTRICT MT 001",c-t-ico,O,Open,3169,5346007.33
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=178781&c-t-p=1,c-t-id,178781,"MOULTON, SETH W",c-t-eid,25004670,"MOULTON, SETH W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,MA,MA,y,2014,2014,c-r-t,1,Standard,c-r-osid,15159,"US HOUSE DISTRICT MA 006",c-t-ico,O,Open,4089,5269486.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=205254&c-t-p=2,c-t-id,205254,"LOVE, MIA",c-t-eid,17658514,"LOVE, MIA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,UT,UT,y,2016,2016,c-r-t,1,Standard,c-r-osid,15375,"US HOUSE DISTRICT UT 004",c-t-ico,I,Incumbent,16155,5245214.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=174676&c-t-p=2,c-t-id,174676,"LOVE, MIA",c-t-eid,17658514,"LOVE, MIA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,UT,UT,y,2014,2014,c-r-t,1,Standard,c-r-osid,15375,"US HOUSE DISTRICT UT 004",c-t-ico,O,Open,13006,5212414.37
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=214727&c-t-p=2,c-t-id,214727,"ROONEY III, LAURENCE FRANCIS",c-t-eid,1486745,"ROONEY III, LAURENCE FRANCIS",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,FL,FL,y,2016,2016,c-r-t,1,Standard,c-r-osid,15080,"US HOUSE DISTRICT FL 019",c-t-ico,O,Open,629,5150546.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=173750&c-t-p=1,c-t-id,173750,"ROMANOFF, ANDREW",c-t-eid,5986785,"ROMANOFF, ANDREW",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,CO,CO,y,2014,2014,c-r-t,1,Standard,c-r-osid,15054,"US HOUSE DISTRICT CO 006",c-t-ico,C,Challenger,14823,5132748.19
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=142167&c-t-p=2,c-t-id,142167,"RYAN, PAUL D",c-t-eid,7432657,"RYAN, PAUL D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,15398,"US HOUSE DISTRICT WI 001",c-t-ico,I,Incumbent,23537,5120147.14
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=195180&c-t-p=1,c-t-id,195180,"SCHNEIDER, BRADLEY SCOTT (BRAD)",c-t-eid,2671149,"SCHNEIDER, BRADLEY SCOTT (BRAD)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2016,2016,c-r-t,1,Standard,c-r-osid,15120,"US HOUSE DISTRICT IL 010",c-t-ico,C,Challenger,20932,5104812.20
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=160677&c-t-p=2,c-t-id,160677,"RUSSELL, WILLIAM",c-t-eid,18930563,"RUSSELL, WILLIAM",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,PA,PA,y,2010,2010,c-r-t,1,Standard,c-r-osid,15310,"US HOUSE DISTRICT PA 012",c-t-ico,O,Open,13539,5077498.68
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=227118&c-t-p=1,c-t-id,227118,"GOTTHEIMER, JOSHUA S",c-t-eid,39707518,"GOTTHEIMER, JOSHUA S",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2018,2018,c-r-t,1,Standard,c-r-osid,15231,"US HOUSE DISTRICT NJ 005",c-t-ico,I,Incumbent,5502,5047666.09
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=175184&c-t-p=1,c-t-id,175184,"SINEMA, KYRSTEN",c-t-eid,6459171,"SINEMA, KYRSTEN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AZ,AZ,y,2014,2014,c-r-t,1,Standard,c-r-osid,14995,"US HOUSE DISTRICT AZ 009",c-t-ico,I,Incumbent,7199,5044617.27
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=211638&c-t-p=1,c-t-id,211638,"TEACHOUT, ZEPHYR R",c-t-eid,2943958,"TEACHOUT, ZEPHYR R",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NY,NY,y,2016,2016,c-r-t,1,Standard,c-r-osid,15264,"US HOUSE DISTRICT NY 019",c-t-ico,O,Open,14029,5019216.47
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=211659&c-t-p=1,c-t-id,211659,"SINEMA, KYRSTEN",c-t-eid,6459171,"SINEMA, KYRSTEN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AZ,AZ,y,2016,2016,c-r-t,1,Standard,c-r-osid,14995,"US HOUSE DISTRICT AZ 009",c-t-ico,I,Incumbent,6488,4938342.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=210062&c-t-p=2,c-t-id,210062,"PAULSEN, ERIK",c-t-eid,17658795,"PAULSEN, ERIK",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,MN,MN,y,2016,2016,c-r-t,1,Standard,c-r-osid,15189,"US HOUSE DISTRICT MN 003",c-t-ico,I,Incumbent,4189,4928242.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141133&c-t-p=1,c-t-id,141133,"MURPHY, PATRICK E",c-t-eid,323583,"MURPHY, PATRICK E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,FL,FL,y,2012,2012,c-r-t,1,Standard,c-r-osid,15079,"US HOUSE DISTRICT FL 018",c-t-ico,C,Challenger,5725,4924918.48
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141950&c-t-p=2,c-t-id,141950,"MCCARTHY, KEVIN",c-t-eid,331199,"MCCARTHY, KEVIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CA,CA,y,2012,2012,c-r-t,1,Standard,c-r-osid,15018,"US HOUSE DISTRICT CA 023",c-t-ico,I,Incumbent,2712,4921549.00
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=141063&c-t-p=2,c-t-id,141063,"COORS JR, JOSEPH",c-t-eid,4306093,"COORS JR, JOSEPH",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CO,CO,y,2012,2012,c-r-t,1,Standard,c-r-osid,15055,"US HOUSE DISTRICT CO 007",c-t-ico,C,Challenger,1400,4854766.89
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=163410&c-t-p=1,c-t-id,163410,"SCHNEIDER, BRADLEY SCOTT (BRAD)",c-t-eid,2671149,"SCHNEIDER, BRADLEY SCOTT (BRAD)",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,IL,IL,y,2014,2014,c-r-t,1,Standard,c-r-osid,15120,"US HOUSE DISTRICT IL 010",c-t-ico,I,Incumbent,10887,4812137.43
dt=1&f-fc=1&c-exi=1&c-r-ot=L&c-t-id=173751&c-t-p=2,c-t-id,173751,"COFFMAN, MICHAEL (MIKE)",c-t-eid,12998053,"COFFMAN, MICHAEL (MIKE)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,CO,CO,y,2014,2014,c-r-t,1,Standard,c-r-osid,15054,"US HOUSE DISTRICT CO 006",c-t-ico,I,Incumbent,5798,4808335.75
